[1600, 10]
[1702, 10]


[1703, 4]
[1703, 7]


[1704, 6]


[1705, 2]
[1705, 3]
[1705, 11]


[1706, 8]


[1707, 5]


[1708, 1]
[1708, 4]
[1708, 7]


[1709, 9]
[1709, 12]


[1710, 6]


[1711, 2]
[1711, 3]
[1711, 11]


[1712, 5]


[1713, 1]
[1713, 10]


[1714, 4]
[1714, 7]


[1715, 9]
[1715, 12]


[1716, 3]
[1716, 11]


[1717, 8]


[1718, 5]


[1719, 1]
[1719, 10]


[1720, 9]
[1720, 12]


[1721, 6]


[1722, 2]
[1722, 3]
[1722, 11]


[1723, 8]


[1724, 10]


[1725, 4]
[1725, 7]


[1726, 9]
[1726, 12]


[1727, 6]


[1728, 2]
[1728, 8]


[1729, 5]


[1730, 1]
[1730, 10]


[1731, 4]
[1731, 7]


[1732, 6]


[1733, 2]
[1733, 3]
[1733, 11]


[1734, 8]


[1735, 5]


[1736, 1]
[1736, 4]
[1736, 7]


[1737, 9]
[1737, 12]


[1738, 6]


[1739, 2]
[1739, 3]
[1739, 11]


[1740, 5]


[1741, 1]
[1741, 10]


[1742, 4]
[1742, 7]


[1743, 9]
[1743, 12]


[1744, 3]
[1744, 11]


[1745, 8]


[1746, 5]


[1747, 1]
[1747, 10]


[1748, 9]
[1748, 12]


[1749, 6]


[1750, 2]
[1750, 3]
[1750, 11]


[1751, 8]


[1752, 10]


[1753, 4]
[1753, 7]


[1754, 9]
[1754, 12]


[1755, 6]


[1756, 2]
[1756, 8]


[1757, 5]


[1758, 1]
[1758, 10]


[1759, 4]
[1759, 7]


[1760, 6]


[1761, 2]
[1761, 3]
[1761, 11]


[1762, 8]


[1763, 5]


[1764, 1]
[1764, 4]
[1764, 7]


[1765, 9]
[1765, 12]


[1766, 6]


[1767, 2]
[1767, 3]
[1767, 11]


[1768, 5]


[1769, 1]
[1769, 10]


[1770, 4]
[1770, 7]


[1771, 9]
[1771, 12]


[1772, 3]
[1772, 11]


[1773, 8]


[1774, 5]


[1775, 1]
[1775, 10]


[1776, 9]
[1776, 12]


[1777, 6]


[1778, 2]
[1778, 3]
[1778, 11]


[1779, 8]


[1780, 10]


[1781, 4]
[1781, 7]


[1782, 9]
[1782, 12]


[1783, 6]


[1784, 2]
[1784, 8]


[1785, 5]


[1786, 1]
[1786, 10]


[1787, 4]
[1787, 7]


[1788, 6]


[1789, 2]
[1789, 3]
[1789, 11]


[1790, 8]


[1791, 5]


[1792, 1]
[1792, 4]
[1792, 7]


[1793, 9]
[1793, 12]


[1794, 6]


[1795, 2]
[1795, 3]
[1795, 11]


[1796, 5]


[1797, 1]
[1797, 10]


[1798, 4]
[1798, 7]


[1799, 9]
[1799, 12]


[1800, 6]


[1801, 2]
[1801, 3]
[1801, 11]


[1802, 8]


[1803, 5]


[1804, 1]
[1804, 4]
[1804, 7]


[1805, 9]
[1805, 12]


[1806, 6]


[1807, 2]
[1807, 3]
[1807, 11]


[1808, 5]


[1809, 1]
[1809, 10]


[1810, 4]
[1810, 7]


[1811, 9]
[1811, 12]


[1812, 3]
[1812, 11]


[1813, 8]


[1814, 5]


[1815, 1]
[1815, 10]


[1816, 9]
[1816, 12]


[1817, 6]


[1818, 2]
[1818, 3]
[1818, 11]


[1819, 8]


[1820, 10]


[1821, 4]
[1821, 7]


[1822, 9]
[1822, 12]


[1823, 6]


[1824, 2]
[1824, 8]


[1825, 5]


[1826, 1]
[1826, 10]


[1827, 4]
[1827, 7]


[1828, 6]


[1829, 2]
[1829, 3]
[1829, 11]


[1830, 8]


[1831, 5]


[1832, 1]
[1832, 4]
[1832, 7]


[1833, 9]
[1833, 12]


[1834, 6]


[1835, 2]
[1835, 3]
[1835, 11]


[1836, 5]


[1837, 1]
[1837, 10]


[1838, 4]
[1838, 7]


[1839, 9]
[1839, 12]


[1840, 3]
[1840, 11]


[1841, 8]


[1842, 5]


[1843, 1]
[1843, 10]


[1844, 9]
[1844, 12]


[1845, 6]


[1846, 2]
[1846, 3]
[1846, 11]


[1847, 8]


[1848, 10]


[1849, 4]
[1849, 7]


[1850, 9]
[1850, 12]


[1851, 6]


[1852, 2]
[1852, 8]


[1853, 5]


[1854, 1]
[1854, 10]


[1855, 4]
[1855, 7]


[1856, 6]


[1857, 2]
[1857, 3]
[1857, 11]


[1858, 8]


[1859, 5]


[1860, 1]
[1860, 4]
[1860, 7]


[1861, 9]
[1861, 12]


[1862, 6]


[1863, 2]
[1863, 3]
[1863, 11]


[1864, 5]


[1865, 1]
[1865, 10]


[1866, 4]
[1866, 7]


[1867, 9]
[1867, 12]


[1868, 3]
[1868, 11]


[1869, 8]


[1870, 5]


[1871, 1]
[1871, 10]


[1872, 9]
[1872, 12]


[1873, 6]


[1874, 2]
[1874, 3]
[1874, 11]


[1875, 8]


[1876, 10]


[1877, 4]
[1877, 7]


[1878, 9]
[1878, 12]


[1879, 6]


[1880, 2]
[1880, 8]


[1881, 5]


[1882, 1]
[1882, 10]


[1883, 4]
[1883, 7]


[1884, 6]


[1885, 2]
[1885, 3]
[1885, 11]


[1886, 8]


[1887, 5]


[1888, 1]
[1888, 4]
[1888, 7]


[1889, 9]
[1889, 12]


[1890, 6]


[1891, 2]
[1891, 3]
[1891, 11]


[1892, 5]


[1893, 1]
[1893, 10]


[1894, 4]
[1894, 7]


[1895, 9]
[1895, 12]


[1896, 3]
[1896, 11]


[1897, 8]


[1898, 5]


[1899, 1]
[1899, 10]


[1900, 4]
[1900, 7]


[1901, 9]
[1901, 12]


[1902, 6]


[1903, 2]
[1903, 3]
[1903, 11]


[1904, 5]


[1905, 1]
[1905, 10]


[1906, 4]
[1906, 7]


[1907, 9]
[1907, 12]


[1908, 3]
[1908, 11]


[1909, 8]


[1910, 5]


[1911, 1]
[1911, 10]


[1912, 9]
[1912, 12]


[1913, 6]


[1914, 2]
[1914, 3]
[1914, 11]


[1915, 8]


[1916, 10]


[1917, 4]
[1917, 7]


[1918, 9]
[1918, 12]


[1919, 6]


[1920, 2]
[1920, 8]


[1921, 5]


[1922, 1]
[1922, 10]


[1923, 4]
[1923, 7]


[1924, 6]


[1925, 2]
[1925, 3]
[1925, 11]


[1926, 8]


[1927, 5]


[1928, 1]
[1928, 4]
[1928, 7]


[1929, 9]
[1929, 12]


[1930, 6]


[1931, 2]
[1931, 3]
[1931, 11]


[1932, 5]


[1933, 1]
[1933, 10]


[1934, 4]
[1934, 7]


[1935, 9]
[1935, 12]


[1936, 3]
[1936, 11]


[1937, 8]


[1938, 5]


[1939, 1]
[1939, 10]


[1940, 9]
[1940, 12]


[1941, 6]


[1942, 2]
[1942, 3]
[1942, 11]


[1943, 8]


[1944, 10]


[1945, 4]
[1945, 7]


[1946, 9]
[1946, 12]


[1947, 6]


[1948, 2]
[1948, 8]


[1949, 5]


[1950, 1]
[1950, 10]


[1951, 4]
[1951, 7]


[1952, 6]


[1953, 2]
[1953, 3]
[1953, 11]


[1954, 8]


[1955, 5]


[1956, 1]
[1956, 4]
[1956, 7]


[1957, 9]
[1957, 12]


[1958, 6]


[1959, 2]
[1959, 3]
[1959, 11]


[1960, 5]


[1961, 1]
[1961, 10]


[1962, 4]
[1962, 7]


[1963, 9]
[1963, 12]


[1964, 3]
[1964, 11]


[1965, 8]


[1966, 5]


[1967, 1]
[1967, 10]


[1968, 9]
[1968, 12]


[1969, 6]


[1970, 2]
[1970, 3]
[1970, 11]


[1971, 8]


[1972, 10]


[1973, 4]
[1973, 7]


[1974, 9]
[1974, 12]


[1975, 6]


[1976, 2]
[1976, 8]


[1977, 5]


[1978, 1]
[1978, 10]


[1979, 4]
[1979, 7]


[1980, 6]


[1981, 2]
[1981, 3]
[1981, 11]


[1982, 8]


[1983, 5]


[1984, 1]
[1984, 4]
[1984, 7]


[1985, 9]
[1985, 12]


[1986, 6]


[1987, 2]
[1987, 3]
[1987, 11]


[1988, 5]


[1989, 1]
[1989, 10]


[1990, 4]
[1990, 7]


[1991, 9]
[1991, 12]


[1992, 3]
[1992, 11]


[1993, 8]


[1994, 5]


[1995, 1]
[1995, 10]


[1996, 9]
[1996, 12]


[1997, 6]


[1998, 2]
[1998, 3]
[1998, 11]


[1999, 8]


[2000, 10]


[2001, 4]
[2001, 7]


[2002, 9]
[2002, 12]


[2003, 6]


[2004, 2]
[2004, 8]


[2005, 5]


[2006, 1]
[2006, 10]


[2007, 4]
[2007, 7]


[2008, 6]


[2009, 2]
[2009, 3]
[2009, 11]


[2010, 8]


[2011, 5]


[2012, 1]
[2012, 4]
[2012, 7]


[2013, 9]
[2013, 12]


[2014, 6]


[2015, 2]
[2015, 3]
[2015, 11]


[2016, 5]


[2017, 1]
[2017, 10]


[2018, 4]
[2018, 7]


[2019, 9]
[2019, 12]


[2020, 3]
[2020, 11]


[2021, 8]


[2022, 5]


[2023, 1]
[2023, 10]


[2024, 9]
[2024, 12]


[2025, 6]


[2026, 2]
[2026, 3]
[2026, 11]


[2027, 8]


[2028, 10]


[2029, 4]
[2029, 7]


[2030, 9]
[2030, 12]


[2031, 6]


[2032, 2]
[2032, 8]


[2033, 5]


[2034, 1]
[2034, 10]


[2035, 4]
[2035, 7]


[2036, 6]


[2037, 2]
[2037, 3]
[2037, 11]


[2038, 8]


[2039, 5]


[2040, 1]
[2040, 4]
[2040, 7]


[2041, 9]
[2041, 12]


[2042, 6]


[2043, 2]
[2043, 3]
[2043, 11]


[2044, 5]


[2045, 1]
[2045, 10]


[2046, 4]
[2046, 7]


[2047, 9]
[2047, 12]


[2048, 3]
[2048, 11]


[2049, 8]


[2050, 5]


[2051, 1]
[2051, 10]


[2052, 9]
[2052, 12]


[2053, 6]


[2054, 2]
[2054, 3]
[2054, 11]


[2055, 8]


[2056, 10]


[2057, 4]
[2057, 7]


[2058, 9]
[2058, 12]


[2059, 6]


[2060, 2]
[2060, 8]


[2061, 5]


[2062, 1]
[2062, 10]


[2063, 4]
[2063, 7]


[2064, 6]


[2065, 2]
[2065, 3]
[2065, 11]


[2066, 8]


[2067, 5]


[2068, 1]
[2068, 4]
[2068, 7]


[2069, 9]
[2069, 12]


[2070, 6]


[2071, 2]
[2071, 3]
[2071, 11]


[2072, 5]


[2073, 1]
[2073, 10]


[2074, 4]
[2074, 7]


[2075, 9]
[2075, 12]


[2076, 3]
[2076, 11]


[2077, 8]


[2078, 5]


[2079, 1]
[2079, 10]


[2080, 9]
[2080, 12]


[2081, 6]


[2082, 2]
[2082, 3]
[2082, 11]


[2083, 8]


[2084, 10]


[2085, 4]
[2085, 7]


[2086, 9]
[2086, 12]


[2087, 6]


[2088, 2]
[2088, 8]


[2089, 5]


[2090, 1]
[2090, 10]


[2091, 4]
[2091, 7]


[2092, 6]


[2093, 2]
[2093, 3]
[2093, 11]


[2094, 8]


[2095, 5]


[2096, 1]
[2096, 4]
[2096, 7]


[2097, 9]
[2097, 12]


[2098, 6]


[2099, 2]
[2099, 3]
[2099, 11]


[2100, 8]


[2101, 5]


[2102, 1]
[2102, 10]


[2103, 4]
[2103, 7]


[2104, 6]


[2105, 2]
[2105, 3]
[2105, 11]


[2106, 8]


[2107, 5]


[2108, 1]
[2108, 4]
[2108, 7]


[2109, 9]
[2109, 12]


[2110, 6]


[2111, 2]
[2111, 3]
[2111, 11]


[2112, 5]


[2113, 1]
[2113, 10]


[2114, 4]
[2114, 7]


[2115, 9]
[2115, 12]


[2116, 3]
[2116, 11]


[2117, 8]


[2118, 5]


[2119, 1]
[2119, 10]


[2120, 9]
[2120, 12]


[2121, 6]


[2122, 2]
[2122, 3]
[2122, 11]


[2123, 8]


[2124, 10]


[2125, 4]
[2125, 7]


[2126, 9]
[2126, 12]


[2127, 6]


[2128, 2]
[2128, 8]


[2129, 5]


[2130, 1]
[2130, 10]


[2131, 4]
[2131, 7]


[2132, 6]


[2133, 2]
[2133, 3]
[2133, 11]


[2134, 8]


[2135, 5]


[2136, 1]
[2136, 4]
[2136, 7]


[2137, 9]
[2137, 12]


[2138, 6]


[2139, 2]
[2139, 3]
[2139, 11]


[2140, 5]


[2141, 1]
[2141, 10]


[2142, 4]
[2142, 7]


[2143, 9]
[2143, 12]


[2144, 3]
[2144, 11]


[2145, 8]


[2146, 5]


[2147, 1]
[2147, 10]


[2148, 9]
[2148, 12]


[2149, 6]


[2150, 2]
[2150, 3]
[2150, 11]


[2151, 8]


[2152, 10]


[2153, 4]
[2153, 7]


[2154, 9]
[2154, 12]


[2155, 6]


[2156, 2]
[2156, 8]


[2157, 5]


[2158, 1]
[2158, 10]


[2159, 4]
[2159, 7]


[2160, 6]


[2161, 2]
[2161, 3]
[2161, 11]


[2162, 8]


[2163, 5]


[2164, 1]
[2164, 4]
[2164, 7]


[2165, 9]
[2165, 12]


[2166, 6]


[2167, 2]
[2167, 3]
[2167, 11]


[2168, 5]


[2169, 1]
[2169, 10]


[2170, 4]
[2170, 7]


[2171, 9]
[2171, 12]


[2172, 3]
[2172, 11]


[2173, 8]


[2174, 5]


[2175, 1]
[2175, 10]


[2176, 9]
[2176, 12]


[2177, 6]


[2178, 2]
[2178, 3]
[2178, 11]


[2179, 8]


[2180, 10]


[2181, 4]
[2181, 7]


[2182, 9]
[2182, 12]


[2183, 6]


[2184, 2]
[2184, 8]


[2185, 5]


[2186, 1]
[2186, 10]


[2187, 4]
[2187, 7]


[2188, 6]


[2189, 2]
[2189, 3]
[2189, 11]


[2190, 8]


[2191, 5]


[2192, 1]
[2192, 4]
[2192, 7]


[2193, 9]
[2193, 12]


[2194, 6]


[2195, 2]
[2195, 3]
[2195, 11]


[2196, 5]


[2197, 1]
[2197, 10]


[2198, 4]
[2198, 7]


[2199, 9]
[2199, 12]


[2200, 6]


[2201, 2]
[2201, 3]
[2201, 11]


[2202, 8]


[2203, 5]


[2204, 1]
[2204, 4]
[2204, 7]


[2205, 9]
[2205, 12]


[2206, 6]


[2207, 2]
[2207, 3]
[2207, 11]


[2208, 5]


[2209, 1]
[2209, 10]


[2210, 4]
[2210, 7]


[2211, 9]
[2211, 12]


[2212, 3]
[2212, 11]


[2213, 8]


[2214, 5]


[2215, 1]
[2215, 10]


[2216, 9]
[2216, 12]


[2217, 6]


[2218, 2]
[2218, 3]
[2218, 11]


[2219, 8]


[2220, 10]


[2221, 4]
[2221, 7]


[2222, 9]
[2222, 12]


[2223, 6]


[2224, 2]
[2224, 8]


[2225, 5]


[2226, 1]
[2226, 10]


[2227, 4]
[2227, 7]


[2228, 6]


[2229, 2]
[2229, 3]
[2229, 11]


[2230, 8]


[2231, 5]


[2232, 1]
[2232, 4]
[2232, 7]


[2233, 9]
[2233, 12]


[2234, 6]


[2235, 2]
[2235, 3]
[2235, 11]


[2236, 5]


[2237, 1]
[2237, 10]


[2238, 4]
[2238, 7]


[2239, 9]
[2239, 12]


[2240, 3]
[2240, 11]


[2241, 8]


[2242, 5]


[2243, 1]
[2243, 10]


[2244, 9]
[2244, 12]


[2245, 6]


[2246, 2]
[2246, 3]
[2246, 11]


[2247, 8]


[2248, 10]


[2249, 4]
[2249, 7]


[2250, 9]
[2250, 12]


[2251, 6]


[2252, 2]
[2252, 8]


[2253, 5]


[2254, 1]
[2254, 10]


[2255, 4]
[2255, 7]


[2256, 6]


[2257, 2]
[2257, 3]
[2257, 11]


[2258, 8]


[2259, 5]


[2260, 1]
[2260, 4]
[2260, 7]


[2261, 9]
[2261, 12]


[2262, 6]


[2263, 2]
[2263, 3]
[2263, 11]


[2264, 5]


[2265, 1]
[2265, 10]


[2266, 4]
[2266, 7]


[2267, 9]
[2267, 12]


[2268, 3]
[2268, 11]


[2269, 8]


[2270, 5]


[2271, 1]
[2271, 10]


[2272, 9]
[2272, 12]


[2273, 6]


[2274, 2]
[2274, 3]
[2274, 11]


[2275, 8]


[2276, 10]


[2277, 4]
[2277, 7]


[2278, 9]
[2278, 12]


[2279, 6]


[2280, 2]
[2280, 8]


[2281, 5]


[2282, 1]
[2282, 10]


[2283, 4]
[2283, 7]


[2284, 6]


[2285, 2]
[2285, 3]
[2285, 11]


[2286, 8]


[2287, 5]


[2288, 1]
[2288, 4]
[2288, 7]


[2289, 9]
[2289, 12]


[2290, 6]


[2291, 2]
[2291, 3]
[2291, 11]


[2292, 5]


[2293, 1]
[2293, 10]


[2294, 4]
[2294, 7]


[2295, 9]
[2295, 12]


[2296, 3]
[2296, 11]


[2297, 8]


[2298, 5]


[2299, 1]
[2299, 10]


[2300, 4]
[2300, 7]


[2301, 9]
[2301, 12]


[2302, 6]


[2303, 2]
[2303, 3]
[2303, 11]


[2304, 5]


[2305, 1]
[2305, 10]


[2306, 4]
[2306, 7]


[2307, 9]
[2307, 12]


[2308, 3]
[2308, 11]


[2309, 8]


[2310, 5]


[2311, 1]
[2311, 10]


[2312, 9]
[2312, 12]


[2313, 6]


[2314, 2]
[2314, 3]
[2314, 11]


[2315, 8]


[2316, 10]


[2317, 4]
[2317, 7]


[2318, 9]
[2318, 12]


[2319, 6]


[2320, 2]
[2320, 8]


[2321, 5]


[2322, 1]
[2322, 10]


[2323, 4]
[2323, 7]


[2324, 6]


[2325, 2]
[2325, 3]
[2325, 11]


[2326, 8]


[2327, 5]


[2328, 1]
[2328, 4]
[2328, 7]


[2329, 9]
[2329, 12]


[2330, 6]


[2331, 2]
[2331, 3]
[2331, 11]


[2332, 5]


[2333, 1]
[2333, 10]


[2334, 4]
[2334, 7]


[2335, 9]
[2335, 12]


[2336, 3]
[2336, 11]


[2337, 8]


[2338, 5]


[2339, 1]
[2339, 10]


[2340, 9]
[2340, 12]


[2341, 6]


[2342, 2]
[2342, 3]
[2342, 11]


[2343, 8]


[2344, 10]


[2345, 4]
[2345, 7]


[2346, 9]
[2346, 12]


[2347, 6]


[2348, 2]
[2348, 8]


[2349, 5]


[2350, 1]
[2350, 10]


[2351, 4]
[2351, 7]


[2352, 6]


[2353, 2]
[2353, 3]
[2353, 11]


[2354, 8]


[2355, 5]


[2356, 1]
[2356, 4]
[2356, 7]


[2357, 9]
[2357, 12]


[2358, 6]


[2359, 2]
[2359, 3]
[2359, 11]


[2360, 5]


[2361, 1]
[2361, 10]


[2362, 4]
[2362, 7]


[2363, 9]
[2363, 12]


[2364, 3]
[2364, 11]


[2365, 8]


[2366, 5]


[2367, 1]
[2367, 10]


[2368, 9]
[2368, 12]


[2369, 6]


[2370, 2]
[2370, 3]
[2370, 11]


[2371, 8]


[2372, 10]


[2373, 4]
[2373, 7]


[2374, 9]
[2374, 12]


[2375, 6]


[2376, 2]
[2376, 8]


[2377, 5]


[2378, 1]
[2378, 10]


[2379, 4]
[2379, 7]


[2380, 6]


[2381, 2]
[2381, 3]
[2381, 11]


[2382, 8]


[2383, 5]


[2384, 1]
[2384, 4]
[2384, 7]


[2385, 9]
[2385, 12]


[2386, 6]


[2387, 2]
[2387, 3]
[2387, 11]


[2388, 5]


[2389, 1]
[2389, 10]


[2390, 4]
[2390, 7]


[2391, 9]
[2391, 12]


[2392, 3]
[2392, 11]


[2393, 8]


[2394, 5]


[2395, 1]
[2395, 10]


[2396, 9]
[2396, 12]


[2397, 6]


[2398, 2]
[2398, 3]
[2398, 11]


[2399, 8]


[2400, 10]


[2401, 4]
[2401, 7]


[2402, 9]
[2402, 12]


[2403, 6]


[2404, 2]
[2404, 8]


[2405, 5]


[2406, 1]
[2406, 10]


[2407, 4]
[2407, 7]


[2408, 6]


[2409, 2]
[2409, 3]
[2409, 11]


[2410, 8]


[2411, 5]


[2412, 1]
[2412, 4]
[2412, 7]


[2413, 9]
[2413, 12]


[2414, 6]


[2415, 2]
[2415, 3]
[2415, 11]


[2416, 5]


[2417, 1]
[2417, 10]


[2418, 4]
[2418, 7]


[2419, 9]
[2419, 12]


[2420, 3]
[2420, 11]


[2421, 8]


[2422, 5]


[2423, 1]
[2423, 10]


[2424, 9]
[2424, 12]


[2425, 6]


[2426, 2]
[2426, 3]
[2426, 11]


[2427, 8]


[2428, 10]


[2429, 4]
[2429, 7]


[2430, 9]
[2430, 12]


[2431, 6]


[2432, 2]
[2432, 8]


[2433, 5]


[2434, 1]
[2434, 10]


[2435, 4]
[2435, 7]


[2436, 6]


[2437, 2]
[2437, 3]
[2437, 11]


[2438, 8]


[2439, 5]


[2440, 1]
[2440, 4]
[2440, 7]


[2441, 9]
[2441, 12]


[2442, 6]


[2443, 2]
[2443, 3]
[2443, 11]


[2444, 5]


[2445, 1]
[2445, 10]


[2446, 4]
[2446, 7]


[2447, 9]
[2447, 12]


[2448, 3]
[2448, 11]


[2449, 8]


[2450, 5]


[2451, 1]
[2451, 10]


[2452, 9]
[2452, 12]


[2453, 6]


[2454, 2]
[2454, 3]
[2454, 11]


[2455, 8]


[2456, 10]


[2457, 4]
[2457, 7]


[2458, 9]
[2458, 12]


[2459, 6]


[2460, 2]
[2460, 8]


[2461, 5]


[2462, 1]
[2462, 10]


[2463, 4]
[2463, 7]


[2464, 6]


[2465, 2]
[2465, 3]
[2465, 11]


[2466, 8]


[2467, 5]


[2468, 1]
[2468, 4]
[2468, 7]


[2469, 9]
[2469, 12]


[2470, 6]


[2471, 2]
[2471, 3]
[2471, 11]


[2472, 5]


[2473, 1]
[2473, 10]


[2474, 4]
[2474, 7]


[2475, 9]
[2475, 12]


[2476, 3]
[2476, 11]


[2477, 8]


[2478, 5]


[2479, 1]
[2479, 10]


[2480, 9]
[2480, 12]


[2481, 6]


[2482, 2]
[2482, 3]
[2482, 11]


[2483, 8]


[2484, 10]


[2485, 4]
[2485, 7]


[2486, 9]
[2486, 12]


[2487, 6]


[2488, 2]
